Old Category Id,New Category Id,Parent Id
77598,78924,77573
77624,78925,77567
77625,78926,77564
77590,78927,77574
77591,78928,0
77592,78929,77630
77593,78930,77630
77594,78931,77630
77595,78932,77572
77596,78933,77575
77597,78934,77582
77565,78935,77632
77566,78936,77632
77567,78937,77632
77568,78938,77651
77570,78939,77651
77571,78940,77651
77572,78941,77652
77573,78942,77654
77574,78943,77654
77575,78944,77655
77576,78945,77655
77577,78946,77655
77578,78947,77651
77580,78948,77586
77582,78949,77654
77583,78950,77655
77584,78951,77655
77585,78952,77563
77645,78953,77654
77644,78954,77568
77643,78955,77572
78539,78956,78109
77602,78957,77570
78046,78958,77578
77604,78959,77568
77605,78960,77567
77606,78961,77576
77607,78962,77568
77626,78963,77564
77627,78964,77565
77628,78965,77632
77620,78966,77583
77621,78967,77568
77651,78968,0
77652,78969,0
77653,78970,0
77654,78971,0
77655,78972,0
77556,78973,77572
78079,78974,77651
77609,78975,77628
77610,78976,77628
77608,78977,77628
77612,78978,77576
77613,78979,77564
77614,78980,77655
77615,78981,77628
77616,78982,77577
77617,78983,77563
77618,78984,77565
77619,78985,77637
77557,78986,77574
77558,78987,77571
77559,78988,77571
77561,78989,77573
77562,78990,77572
77563,78991,77632
77629,78992,77566
77586,78993,77651
77587,78994,77567
77588,78995,77574
77589,78996,0
77630,78997,77565
77632,78998,0
77633,78999,77575
77634,79000,77630
77635,79001,77568
77636,79002,77577
77637,79003,77653
77638,79004,77637
77639,79005,77584
77640,79006,77584
77564,79007,77632
77599,79008,77577
77600,79009,77578
77601,79010,77571
78109,79011,77651
78111,79012,78109
78112,79013,78109
78113,79014,78109
78569,79015,77582
78577,79016,77582
78811,79017,78109
78820,79018,77568
